Andrology,"['Lithotripsy', 'Urinary Tract Obstruction', 'Endourology', 'Orchiectomy', 'Kidney Transplant', 'Urine Stone', 'Urinary Tract Infections (UTI)', 'Kidney Disease Treatment', 'Urology Consultation', 'Urinary Tract Problems', 'Prostate Laser Surgery', 'Groin Pain', 'Frenuloplasty', 'Urinary Tract Infection (UTI)', 'Transurethral Resection of The Prostate (TURP)', 'Kidney Transplant Treatment', 'Circumcision', 'Surgery Of The Penis', 'Penis Pain', 'Urinary Incontinence (ui) Treatment', 'D J Stent Removal', 'Neurourology', 'Dialysis / Haemodialysis', 'Kidney Stone Removal', 'Chronic Kidney Disease ( CKD )', 'Benign Prostatic Hypertrophy', 'Obstruction While Urinating', 'Male Sexual Problems', 'Penile Fracture Repair', 'Cystoscopy', 'Enlarged Prostate', 'Kidney Disease', 'Mens Health', 'Urinary Tract / Bladder Stones Treatment', 'Urethroplasty', 'Urethral Dilatation', 'UTI', 'Open Prostatectomy', 'Testicular', 'Varicocelectomy', 'Kidney Stone Treatment', 'Blood In Urine (hematuria) Treatment', 'Bladder Stones', 'Urine Infection', 'Pain While Urinating', 'Transurethral Incision of The Prostate (TUIP)']"
Anesthesiology,"['Anesthesia', 'Epidural Injection']"
Audiologist,"['Speech Audiometry', 'BERA Test', 'Audiogram Audiometry Impedance', 'Pure Tone Audiometry', 'Hearing Impairment', 'Vestibular Evoked Myogenic Potentials (VEMP)', 'BTE and RIC Hearing Aids', 'Hearing Deficiency Assessment', 'Hearing Aid Fitting', 'Impedence/tympanometry', 'Hearing Screening']"
Ayurveda,"['Treatment For Knee Joint Pain (non Surgical)', 'Psoriasis', 'Exam Fear', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Guidance Lifestyle', 'Hair Loss Treatment', 'Treatment For Osteoarthritis', 'Eczema', 'Weight Management', 'Obesity Treatment', 'Hair Disease', 'Gastritis Treatment', 'Hair Loss', 'Low Sperm Count', 'Sciatica Pain Treatment', 'Lepanam', 'Kshar Sutra', 'Gastritis', 'Anal Fissure Surgery', 'Adolescent Issues', 'Treatment For Arthritis', 'Sex Therapy', 'Dandruff Treatment', 'Erection Problems', 'Colds', 'Treatment For Depression', 'Personal Development', 'Male Sexual Dysfunction Treatment', 'Urinary Incontinence (ui) Treatment', 'Stress Management Specialist', 'Detoxification', 'Treatment For Sinusitis', 'Headache', 'Psychological Problems', 'Sirodhara', 'Death And Bereavement Issues', 'Obsessive Compulsive Disorder (OCD) Counselling', 'Rheumatoid Arthritis Treatment', 'Cold Cough', 'Back Pain Treatment', 'Breathing Problems', 'Low Sperm Count/ Erectile Dysfunction/ Early Discharge', 'Ayurvedic Surgery', 'Skin Diseases/ Psoriasis', 'Married Couple Guidance', 'Counselling For Depression & Anxiety', 'Sexual Weakness', 'Psoriasis Treatment', 'Slimming', 'Diabetes', 'Family Counseling', 'Skin Treatment', 'Bronchitis', 'Vasthi', 'Cysts', 'Thyroid Diet Counseling', 'Treatment For Calcaneal Spur', 'Loss Of Libido', 'Gerd', 'Treatment For Male Infertility', 'Neck Pain Treatment', 'Couple Counseling', 'Type 2 Diabetes Treatment', 'Skin Hydration', 'Behavioral Problems', 'Skin Rash Treatment', 'Urticarial Rash', 'Piles Treatment', 'Thyroidectomy', 'General Medical Consultation', 'Hair Care Services', 'Ulcerative Colitis', 'Knee Pain Treatment', 'TREATMENT FOR UTI (URINARY TRACT INFECTION)', 'Scar Treatment', 'Meditation', 'Acne / Pimples Treatment', 'Disk Slip', 'PCOD', 'Treatment For Ibs(stomach Disorders)', 'Premature Ejaculation', 'Male Problems', 'Epilepsy', 'Career Counselling', 'TREATMENT FOR PCOD/PCOS', 'Sleep Disorder Treatment', 'Kidney Stones (urinary Calculus)', 'Mukha Lepanam', 'Digestive Disorders', 'Ankylosing Spondylitis Treatment', 'Interpersonal Relationship Issues', 'Kizhi', 'Skin Care', 'Pilonidal Sinus', 'Spondylitis', 'Sexual Anxiety', 'Male Sexual Problems', 'Kerala Ayurveda Treatments', 'Female Infertility', 'Corn Removal', 'Weight Loss Treatment', 'Kativasthi', 'Sexual Disorders', 'Gastroscopy', 'Janubasti', 'Stomach Pain', 'Treatment For Cervical Spondilitis', 'Shirodhara', 'Infertility', 'Joint Pain', 'Njavarakizhi', 'Knee Care', 'Sex Problems', 'Anger Management', 'Geriatric Healthcare', 'Pain In Left Part Of Chest', 'Stress & Strain', 'Weight Loss', 'Raja Yoga', 'Alcohol Addiction', 'Constipation', 'Acne', 'Masturbation Addiction', 'Body Weakness', 'Ayurvedic Treatments For All Ailments And Wellness Programs', 'Thyroid Disorders', 'Nail Surgery', 'Virechana Karma', 'Eyes Diseases', 'Podikizhi', 'Sinusitis', 'Lung Infections Treatment', 'Cervical Spondylosis', 'Piles Treatment (non Surgical)', 'Sex Counselling', 'Anxiety And Depression', 'Abhyangam', 'Paralysis', 'Phobia', 'PCOD/PCOS Treatment', 'Treatment For Joint Pain (r/a)', 'Emotional Outbursts', 'Fissure', 'Treatment Of Erectile Dysfunction', 'Orthopedic Physical Therapy', 'Udwarthanam', 'Fistula Surgery', 'Counselling And Stress Management', 'Personality Assessment', 'Ayurvedic Massage', 'Running Nose', 'Constipation Treatment', 'Takradhara', 'Systemic Lupus Erythematosus (sle) Treatment', 'Treatment For High Blood Pressure (high B.p)', 'Fibromyalgia Treatment', 'Treatment For Migraine', 'Ayurvedic Treatment', 'Treatment For Pain & Aches', 'Family Planning', 'Acidity', 'Shoulder Pain', 'Asthama/COPD', 'Pigmented Skin', 'Coughing', 'Youth Counselling', 'Weight Loss Diet Counseling', 'Treatment For Psoriasis & Eczema', 'Digestion Problem', 'Piles Surgery', 'Back Pain', 'Skin Infections', 'Gastric Disorders', 'Female Sexual Problems', 'Nasyam', 'Anxiety Disorder Counselling', 'Urinary Tract Infection (UTI)', 'Gastric Trouble', 'Yoga Therapy', 'Bronchial Asthma Treatment', 'Patient Counselling', 'Panchakarma', 'Professional Development', 'Treatment For Spine Problem', 'Sneezing', 'Piles', 'Treatment For Slipped Disc', 'Arthritis Management', 'Lower Back Pain', 'Heart Conditions', 'Anal Fissure Treatment (non-surgical)', 'Leg Pain', 'TREATMENT FOR DIABETES TYPE - II & I', 'Knee Pain', 'Fistula Treatment', 'Ksharsutra', 'Family Problems', 'Online Counselling', 'Sexual Therapy', 'Cold And Cough', 'Sirovasthi', 'Snehapanam', 'Stress', 'Jiva Yoga', 'Marriage/ Marital Counselling', 'Skin Disease Treatment', 'Pre Marital Counseling', 'Pizhichil', 'Skin Hair And Nail Analysis', 'Hair Fringes', 'Urine Infection', 'Treatment For Back Ache', 'Fertility Treatment', 'Joint Mobilization', 'Ayurvedic Clinics']"
Bariatric Surgery,"['Acidity', 'Gerd', 'Abdominal Pain', 'Hernia Repair Surgery', 'Endoscopic Surgery', 'Constipation', 'Appendicitis Treatment', 'Diabetic Foot Treatment/surgery', 'Acid Reflux', 'Piles Surgery', 'Hemorrhoids', 'Gallbladder Stones', 'Skin Flap', 'Gall Bladder (biliary) Stone Treatment', 'Laparoscopic Hernial Repair', 'Gastritis Treatment', 'Blood In Stools', 'Gallbladder Surgery', 'Stomach Ulcer', 'Intestine Surgery', 'Small Surgical Procedures', 'Gastritis', 'Laparoscopic Appendicectomy', 'Diarrhea', 'Appendicitis', 'Anal Fissure Surgery', 'Abdominal Surgery', 'Chronic Liver Disease', 'Stoma Care', 'Circumcision', 'Laparoscopic Cholecystectomy', 'Gastroenteritis', 'Gastrointestinal Endoscopic Mucosal Resection', 'Piles Treatment (non Surgical)', 'Abdominal Pain Treatment', 'Irritable Bowel Syndrome ( Ibs ) Treatment', 'Traction', 'Cyst', 'Hydrocoele', 'Laparoscopy', 'Hernia Surgery', 'Cholecystectomy', 'Gastric Bypass Surgery', 'Fistula Treatment', 'Pilonidal Sinus Surgery', 'Ulcer', 'Laser Piles Treatment', 'Fissure', 'Consultation For Vomiting', 'Gall Bladder Surgery', 'Fistulectomy', 'Rectal Prolapse Surgery', 'Gastroscopy', 'Weight Loss Surgical', 'Anal Fissure', 'Stomach Pain', 'Constipation Treatment', 'Pain In Abdomen', 'Laproscopic Appendicectomy', 'Colorectal Surgery', 'Minimally Invasive Surgery', 'Thyroid Surgery']"
Best Gastroenterology,"['Acidity', 'Nasal Endoscopy', 'Celiac Disease', 'Gerd', 'Abdominal Pain', 'Carotid Angioplasty And Stenting', 'Colonic Diverticular Disease', 'Bitter Taste In The Mouth', 'Nonalcoholic Fatty Liver Disease', 'Cirrhosis', 'Constipation', 'Piles Treatment', 'Hemorrhoids', 'Coronary Angiography', 'Gastro Ailment', 'Gall Bladder (biliary) Stone Treatment', 'Ulcerative Colitis', 'Heart Burn', 'Gastritis Treatment', 'Blood In Stools', 'Whipple Procedure', 'Gastric Trouble', 'Steatosis', 'Chronic Pancreatitis', 'Acute Pancreatitis Treatment', 'Stomach Infection', 'Liver Disease', 'Gastritis', 'Fatty Liver', 'Diarrhea', 'Appendicitis', 'Acid Peptic Disorders', 'Chronic Liver Disease', 'Liver Disease Treatment', 'Hepatitis C Treatment', 'Jaundice', 'Esophageal Dilation', 'Pancreas Stone Treatment', 'Hepatitis B', 'Gallbladder Issues', 'Piles Treatment (non Surgical)', 'Abdominal Pain Treatment', 'Irritable Bowel Syndrome ( Ibs ) Treatment', 'Hepatitis B Treatment', 'Gastroenteritis', 'Hemorrhoids Treatment', 'Stomach Disorder', 'Laparoscopy', 'Digestive Disorders', 'Colonoscopy', 'Peptic Ulcers', 'Anal Fissure Treatment (non-surgical)', 'Fistula Treatment', 'Ulcer', 'Acute Kidney Disease ( Aki ) Treatment', 'Liver Cirrhosis', 'Consultation For Vomiting', 'Gall Bladder Surgery', 'Irritable Bowel Syndrome', 'Gastroesophageal Reflux', 'Acute Pancreatitis', 'Gastroscopy', 'Upper Gastro-intestinal Endoscopy', 'Burning Sensation In Stomach', 'Stomach Pain', 'Laparoscopic Surgery', 'Constipation Treatment', 'Pain In Abdomen', 'Chest & Abodmen & Upper Extremity', 'Ulcerative Colitis Treatment', 'Crohns Disease', 'Colitis Treatment', 'Gastroentrology', 'Vomit Blood']"
Cardiology,"['Low Blood Pressure', 'Cardioversion', 'Asd / Vsd Device Closure', 'Pain In Left Part Of Chest', 'Carotid Angioplasty And Stenting', 'Peripheral Angioplasty', 'Dilated Cardiomyopathy', 'Cardiovascular Conditions', 'Reconstructive Middle Ear Surgery', 'Blalock–thomas–taussig Shunt', 'Angina', 'Coronary Angiogram', 'Bp Monitoring', 'Coronary Angiography', 'Atrial Fibrillation', 'Pacemaker Implantation', 'Coronary Artery Disease', '2D - Echocardiography (2D-Echo)', 'Hypertension Treatment', 'Cardiac Rehabilitation', 'Non-invasive Cardiology', 'Cardiovascular Emergencies', 'Cardiac Catheterisation', 'Angiopathy', 'Hole In The Heart', 'Cardiography', 'Chest Pain During Exercise', 'Angioplasty And Stenting', 'Treadmill Test - Tmt', 'Cardiac Checkup - General', 'Chest Pain', 'Mitral/heart Valve Replacement', 'Heart Conditions', 'Cardiac Valve Repair', 'Heart Attack', 'Cardiologia Clínica', 'Stress Echocardiography', 'Congenital Birth Defects In The Heart Correction', 'Preventive Health Check Ups', 'Blocked Blood Vessels', 'Giddiness', 'Cardiac Invasive Procedures', 'Cardiac Diseases', 'Open Heart Surgery', 'Irregular Heartbeat', 'Acute Myocardial Infarction', 'Cardiovascular Disease Prevention', 'Hypertrophic Cardiomyopathy', 'Hypertension', 'Aortic Valve Disease', 'Cardiac Procedure', 'Heart Care', 'Echocardiography', 'Angiogram', 'Holter Monitoring', 'Electrocardiography (ECG)', 'Coronary Angioplasty / Bypass Surgery', 'Cardiac Ablation', 'Echo (pediatric & Adult)']"
Cardiothoracic Surgery,"['Mitral Valve Replacement (MVR) Surgery', 'Bentall Procedure', 'Surgery For Thoracic Aortic Aneurysm', 'Angioplasty', 'Screening For Coronary Artery Disease', 'Aortic Valve Replacement', 'Heart Conditions', 'Cardiac Valve Repair', 'Congenital Birth Defects In The Heart Correction', 'Endovascular Embolization', 'Open Heart Surgery', 'Minimally Invasive Cardiovascular Surgery(MICS)', 'Vascular Surgery', 'Bypass Surgery', 'Asd Surgery', 'Cardiac And Thoracic Surgery', 'Coronary Artery Bypass Surgery(CABG)', 'Maze Procedure']"
Consultant Physician,"['Wellness Checkup', 'Blood Pressure Changes', 'Fatigue', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Prostate Cancer Screening', 'Eczema', 'Dengue Fever Treatment', 'Food Poisoning', 'Well Woman Healthcheck', 'Annual Check Up', 'Vaccination/ Immunization', 'Swelling Of Legs', 'Swollen Lymph Nodes', 'Hair Loss', 'Swelling Of Stomach', 'Gastric Troubles', 'Gestational Diabetes Management', 'Cramping', 'Stomach Pain And Stomach Upset', 'Restless Leg Syndrome', 'Flu Shot', 'Colds', 'Type 1 Diabetes', 'Men And Women Wellness Screening', 'Swelling In Neck', 'Diabetologist - Cardiologist', 'Practitioner', 'Weight Loss Consultation', 'Headache', 'Sleep Problems', 'Thyroid Disorder Treatment', 'Managing Acute Medical Conditions', 'Ringing In Ears', 'Diabetes Treatment', 'Muscle Cramps', 'Respiratory Tract Infection', 'Cholesterol / Lipids Checkup', 'Illness', 'Wart(s)', 'Back Pain Treatment', 'Swelling', 'Gastroenteritis Treatment', 'Foot Pain', 'Typhoid Fever Treatment', 'Diabetes Renal Failure', 'Diabetes', 'Cold Sores / Herpes Labialis', 'Liver Abscess', 'General Consultation', 'New Patient Visit', 'Back Problems', 'Bronchitis', 'Sexually Transmitted Disease (std)', 'ECG / EKG', 'Dehydration', 'Palmoplantar Psoriasis', 'Pre-travel Checkup', 'Fasting Blood Sugar', 'Low Blood Pressure', 'Type 2 Diabetes Treatment', 'Pre-sports Physical', 'Thyroidectomy', 'Food Poison', 'Food Intolerance', 'Sports Physical', 'Travel Vaccination And Consultation', 'Nausea And Vomiting', 'Colour Doppler', 'Outpatient Treatment', 'Health Checkup General', 'Chickenpox', 'Pneumonia', 'Cold', 'Diabetic Foot', 'Sinus Problems / Sinusitis', 'Allergic Cough', 'Hba1c', 'Incontinence', 'Stuffy Nose', 'Emphysema', 'TB', 'Chest Pain', 'Obesity Management', 'Loose Motion', 'Low Platelets', 'Pulmonary Function Testing', 'Infestation', 'Thyroid Treatment', 'Bronchiolitis Treatment', 'Prescription / Refill', 'Yearly Wellness Visit (for Medicare Patients)', 'Thyroid Swelling/goiter', 'Stomach Pain', 'High Blood Pressure / Hypertension', 'Persistent Cough', 'Thyroid Consultant', 'Cholestrol Diseases', 'Diarrhoea', 'Birth Control / Contraception', 'Joint Pain', 'Acute Diarrhea Treatment', 'Type 2 Diabetes', 'Measles Treatment', 'Hyperlipidaemia', 'High Cholesterol', 'Food Allergy', 'Asthma', 'Constipation', 'Acne', 'Sexual Dysfunction', 'Shortness Of Breath / Difficulty In Breathing', 'Hemorrhoids', 'Travel Medicine Consultation', 'Neck Pain', 'Body Weakness', 'Typhoid Fever', 'Vaccine(s)', 'Fever', 'Consultation', 'Cardiovascular Screening Visit', 'Fever Treatment', 'Cough', 'Hearing Problems', 'Migraine', 'Diarrhea', 'Sinusitis', 'Diabetes Follow Up', 'Chronic Illness', 'Jaundice', 'Coughing Up Blood', 'Primary Care Physician (pcp)', 'Dengue', 'Black Stool / Melena', 'Physcian', 'Obesity / Weight Loss Consultation', 'Hospital Discharge/follow Up', 'Annual Health Checkup', 'Frequent Urination', 'Ear Infection', 'Body Ache', 'Allergic Diseases Treatment', 'Ladies Problems', 'Irritable Bowel Syndrome', 'Primary Care Consultation', 'Rash', 'Blood In Stool', 'Cold Sores', 'Wound Care', 'Vaginal Discharge / Infection', 'Iodine Deficiency Treatment', 'Abscess', 'Wellness Care', 'Colon Cancer Screening', 'Trouble Swallowing', 'Dizziness', 'Type 1 Diabetes Treatment', 'Abdominal Pain', 'Throat Infection', 'Thyroid Consultation', 'Diabetes Complications', 'Bronchiectasis Treatment', 'Back Pain', 'Painful Sex / Dyspareunia', 'Urinary Tract Infection (UTI)', 'Numbness And Tingling', 'Problems With Smell', 'Diabetes Management', 'Stomach Ulcer', 'Vertigo', 'Screening For Disease / Preventive Medicine', 'Complete Heart And Diabetes Treatment', 'Medicare Annual Wellness Visit', 'Daytime Sleepiness', 'Diabetes Consultation', 'Preventive Medicine', 'Tiredness / Fatigue', 'Annual Physical', 'Flu', 'Sugar Level Check', 'Chronic Cough', 'Voice Disorder', 'Diabetes Counselling', 'Thyroid Disorder - Hypothyroidism And Hyperthyroidism', 'Sore Throat', 'Hoarseness', 'Arthritis', 'General Follow Up', 'Blood Work', 'Light Headedness', 'Typhoid', 'Allergy Consultation', 'Pre-travel Consultation', 'Acid Reflux / Heartburn', 'Pre-surgery Checkup / Pre-surgical Clearance']"
Cosmetic Aesthetic Dental,"['Oral & Maxillofacial Surgery', 'Composite Tooth Filling', 'Mouth Bleed', 'Dental Cleaning', 'Bps Dentures Fixing', 'Mucogingival Surgery', 'Teeth Decay', 'Dental Fillings', 'Tooth Erosion', 'Vestibuloplasty Etc)', 'Immediate Dentures', 'Implant Retained Dentures', 'Crowded Teeth', 'Dentures ( Metal Based ) Dental Services/ Ful Dental (acrylic) / Teeth Whitening', 'Dental Cavities', 'Metal Braces Fixing', 'Dental Treatment', 'Dental Examinations', 'Braces Adjustment', 'Operculectomy', 'Scalling', 'Orthognathic Surgery', 'Abnormally Shaped Teeth', 'Teeth Straightening', 'Implant / RCT', 'Dental Crowns', 'Orthodontic Treatment', 'Oral Prophylaxis', 'Implant Rehabilitation', 'Paediatric Tooth Filling', 'Periodontal Flap Surgery', 'Dental Surgery', 'Surgical Tooth Extraction', 'RCT - Root Canal Treatment', 'Jaw Reshaping', 'Dental Calculus', 'Broken Teeth', 'Pulpectomy', 'Complete/partial Dentures Fixing', 'Missing Teeth', 'Teeth - Jewellery', 'Teeth Reshaping', 'Tmj Disorders', 'Cavities', 'Ceramic Crowns And Bridges Fixing', 'Invisible/clear Braces', 'Tooth Sensitivity', 'Smile Designing', 'Teeth Cleaning & Polishing', 'Bone Grafting For Dental Implants', 'Oral Surgery Procedures', 'Artificial Teeth', 'Dental Restoration', 'Impaction / Impacted Tooth Extraction', 'Flexible Partial/complete Denture', 'Preposthetic Surgery (frenectomy', 'Invisible Orthodontics', 'Health Checkup (general)', 'Laser Gum Surgery', 'Straightening Teeth (invisalign)', 'Wisdom Teeth', 'Jaw Ache', 'Oral Rehabilitation', 'Rotten Teeth', 'Apicoectomy', 'Treatment For Bleeding/ Swolen Gums', 'Malocclusion', 'Denture Problems', 'Gap Closing', 'Tooth Decay', 'Acrylic Partial Denture', 'Bad Breath', 'Calculus', 'Misaligned Teeth', 'Orthodontic Procedures', 'Re-root Canal', 'Crowns And Bridges', 'Crowns And Bridges Fixing', 'Dental Implant Fixing', 'Removable Partial Denture Per Tooth', 'Loose Teeth', 'Implant Prosthesis', 'Aesthetic Dentistry', 'Restoration Aesthetics', 'Yoga During Pregnancy', 'Post And Core', 'Teeth Grinding', 'Smile Design', 'Fixed Partial Denture (fpd)', 'Dental Cavity Filling', 'Removal Of Impacted/buried Tooth', 'Ceramic Braces Fixing', 'Veneers / Laminates', 'Periodontitis', 'Consultation', 'Sensitive Teeth', 'Tooth Abscess', 'Rotten Tooth', 'Delayed Tooth Formation', 'Bad Breath (halitosis) Treatment', 'Impacted Tooth', 'Cosmetic/ Aesthetic Dentistry', 'Microscope Assisted Root Canal Treatment', 'Tooth Filling', 'Flap Surgery', 'Veneers', 'Dental Fluorosis', 'Toothache Remedies', 'Dental Implant', 'Fractured Tooth', 'Zirconia Crowns', 'Dental Bridges', 'Mouth Guard', 'Gingivitis', 'Teeth Sensitive To Hot And Cold', 'Cosmetic Veneers/bonding', 'Inlays And Onlays', 'Root Canal Treatment (RCT)', 'Scraping Periodontal', 'General Dentistry', 'Wisdom Tooth Extraction', 'Cosmetic Filling', 'Stained Teeth', 'Cast Partial Denture', 'Abnormal Tooth Color', 'Receding Gums', 'Dental X-ray', 'Bleeding Gums', 'Endo Surgery Or Apicoectomy', 'Cosmetic Recountouring Of Teeth', 'Scaling / Polishing', 'Metallic Crown Fixing', 'Teeth Ache', 'Invisalign Orthodontics', 'Pediatric Dentistry', 'Laminates', 'Dental Screening And Prophylaxis', 'Dental Checkup (general)', 'Tooth Bleach', 'Widely Spaced Teeth', 'Ceramic Facing Crown', 'Painful Teething', 'Dental Plaque', 'RCT - Single Sitting', 'Implant Supported Denture Fixing', 'Ceramic Veneers / Crowns', 'Removal Partial Denture (rpd)', 'Tooth Coloured Fillings', 'Swollen Gums', 'Dentofacial Orthopedics', 'Paedodontics', 'Toothache', 'Tooth Extraction', 'Teeth Whitening', 'Gum Disease Treatment/ Surgery', 'Tooth Loss', 'Implants(fixed Teeth)', 'Jaw Orthopedics', 'Conservative Dentistry', 'Bleeding Gums Treatment']"
