Abdominoplasty,[]
Acupuncture,"['Arthritis And Pain Management Treatment', 'Back Pain Physiotherapy', 'Neck Pain Physiotherapy', 'Shoulder Pain', 'Allergy Treatment', 'Pain Management', 'Slimming', 'Neck Pain', 'Acidity', 'IFT', 'Home Care Physiotherapy', 'Stress', 'Sports Massage Therapy', 'Meditation', 'Knee Pain Physiotherapy', 'Frozen shoulder Physiotherapy', 'Hand Pain', 'Chronic Joint pain treatment', 'Interferential Therapy', 'Musculoskeletal Injury Physiotherapy', 'Cervical Spondylosis Physiotherapy', 'Cupping Therapy', 'Ulcers', ""Parkinson's Disease Physiotherapy/Rehabilitation"", 'Excercise Therapy', 'Digestive Disorders', 'Acupuncture', 'Pediatric Physiotherapy', 'Body acupuncture', 'Diabetes', 'High Blood Pressure', 'Neuro Physiotherapy', 'Hand And Wrist Injuries', 'Back Pain', 'Deep Tissue Release Therapy', 'Physiotherapy Rehab', 'Natural wellness', 'Natural Cycle IVF']"
Addiction Psychiatry,"['Anxiety And Depression', 'Loss of Interest', 'Difficulty Concentrating', 'Depression Treatment', 'Mental health', 'Memory Improvement', ' Strange Behavior', 'Mania', 'Neuropsychological diagnosis', 'Bipolar Disorder', ' BIPOLAR', 'Anger Management', 'Anxiety Disorders Treatment', 'Personality Assessment', ' stress and anxiety', 'Early Parenting Issues', 'Abnormal Behavior', ' Unusual', 'Adult Counselling', 'Relationship Counselling', 'Panic', 'Concentration Problems', 'Attention deficit disorder', ' MANIA', 'Nicotine/Tobacco (Smoking) De-addiction Treatment', 'SCHIZOPHRENIA', 'Grief Counselling', 'Anger Control', 'Behaviour & Thought Problems', 'GAMBLING ADDICTION', 'Sleep Disorder Treatment', ' DEPRESSION', 'Complex Trauma', 'Individual therapy', 'DE-Addiction (Alcohol and Other Drugs)', 'Panic Disorder Treatment', 'Drug Abuse & DeAddiction Therapy', 'Bipolar Disorder Treatment', 'Schizophrenia Treatment', 'Patient Counselling', 'Emotional Outbursts', 'Schizophrenia', 'Stress Management', 'Child and Adolescent Problems', 'DeAddiction Counselling', 'Post Traumatic Stress Disorder (PTSD)', 'Psychosexual Problems', 'De-Addiction', 'Counselling and Psychotherapy', 'Abnormal', 'Psychiatric Counselling', 'Suicidal Behavior', 'Mood Disorders', 'Low Confidence', 'Assessment and treatment of problems related to low self-esteem', ' OCD', 'Stress Management Counselling', ' ANXIETY', 'sleep therapy', 'OCD Treatment', ' PANIC ATTACKS', 'Premarital Counseling']"
Adolescent And Child Psychiatry,[]
Adult Congenital Cardiology,[]
Adult Psychiatry,[]
Aesthetic Surgery,[]
Allergy,[]
Allergy Immunology,"['Strep Throat', 'Allergic rhinitis', 'Nose Bleed', 'Foreign Body removal from Ear', 'Mouth Sores', 'Common Throat Problem', 'Dust Allergies', 'Tearing Eyes', 'Throat infections', 'Pediatric Vaccinations', 'Ear', 'Throat and Voice Problems', 'Newborn Jaundice', 'Nose Fillers', 'Throat Infection', 'Rhinitis', 'Obesity', 'Fever', 'Audiometry Test', 'Common Nose problem', 'Snoring', 'Dust Pollen & Pet Allergies diagnosis & treatment', 'Cold Cough', 'Sneezing', 'Nasal and Sinus Allergy Care', 'Paediatric care', 'ENT Allergies', 'Nasal Disorders', 'Pre-Term Growth & Development', 'Nose', 'Eye/Ent Examination', 'Laryngopharyngeal Reflux', 'Ear Syringing', 'Earache', 'Allergy Treatment', 'Common Ear problem', 'Viral Fever Treatment', 'Adolescent Medicine', 'Coughing', 'Sinusitis', 'Vertigo Treatment', 'Nutritional Assessment', 'Tonsillectomy', 'Growth & Development Evaluation / Management', 'Foreign Body in Eyes', 'Thyroid Disorders', 'Eye Allergy', 'Ear Wax (Cerumen) Removal', 'Ear Micro Surgery', 'Ear Drum Repair', 'Laryngoscopy', 'Chest Breath Lessness', 'Head and Neck Infection Treatment', 'Tinnitus Evaluation / Management', 'Paediatric Critical Care', 'Paediatrics - Chest', 'Throat pain', 'Child Development Disease Treatment', 'Asthma In Children', 'Middle ear', 'Allergic Reaction', 'Health Checkup (Pediatric)', 'Tonsillitis Treatment', 'Childhood Infections', ' Nose and Throat', 'Sinus Surgery', 'Pericarditis', 'Allergy Screening', 'Obstructive Sleep Apnea', 'Allergy Testing', 'Throat problems', 'Tinnitus', 'Bronchitis', 'Skin Allergies', 'Allergy Bronchitis', 'Eardrum Rupture Treatment', 'Ear Pain', 'All Pediatric Problems', 'Child health disorder', 'Food Allergy', 'Head and Neck Tumor / Cancer Surgery', 'Headache', 'Hearing Aid Fitting', 'Eardrum Rupture', 'Thyroplasty', 'Child specialists', 'ENT Problems', 'Chest Allergies', 'Hearing Deficiency Assessment', 'Pollen Allergy', 'Nasal Congestion', 'cough', 'Running Nose', 'Ear Blockage', 'Sore Throat', 'Allergy Immunotherapy', 'Septoplasty', ""Children's Health"", 'Sinus / Sinusitis Treatment', 'Hoarseness', 'Blocked Nose', 'Hearing Loss', 'ENT Checkup (General)', 'Nose Infection', 'Child nutrition Guidance', 'Sincesities', 'Diphtheria', 'Food Allergies', 'People Skills', 'Nosebleed (Epistaxis) Treatment', 'Surgery for Snoring', ' Ears', 'Cough In Children', 'Salivary Gland Surgery']"
Alternative Medicine,"['Piles Treatment', 'Gastric Disorders', 'TREATMENT FOR DEPRESSION', 'Skin diseases/ Psoriasis', 'virechana karma', 'TREATMENT FOR KNEE JOINT PAIN (NON SURGICAL)', 'TREATMENT FOR DIABETES TYPE - II & I', 'TREATMENT FOR SPINE PROBLEM', 'Relaxing treatments', 'Abhyangam', 'Ayurvedic Treatment', 'TREATMENT FOR SINUSITIS', 'TREATMENT FOR IBS(STOMACH DISORDERS)', 'TREATMENT FOR PCOD/PCOS', 'Pizhichil', 'TREATMENT FOR PSORIASIS & ECZEMA', 'Psoriasis', 'Nasyam', 'Sciatica Pain Treatment', 'TREATMENT FOR BACK ACHE', 'TREATMENT FOR JOINT PAIN (R/A)', 'Infertility', 'Consultation', 'Digestion Problem', 'Lower Back Pain', 'Immunity Therapy', 'TREATMENT FOR PAIN & ACHES', 'Detoxification', 'Ayurvedic Massage', ' STRESS & STRAIN', 'Asthma/COPD', 'Lepanam', 'Acne', 'rejuvination therapy', 'Headache', 'Cold And Cough', 'Sirodhara', 'Udwarthanam', 'Throat Infection', 'Diabetes', 'Panchakarma', 'Weight Loss Diet Counseling', 'Herbal Steam Bath', 'Kizhi', 'Asthama/COPD', 'TREATMENT FOR CERVICAL SPONDILITIS', 'Ayurvedic Surgery', 'Nadi Pariksha']"
Andrology,"['UTI', 'Cystoscopy', 'Enlarged Prostate', 'Kidney Disease Treatment', 'D J Stent Removal', 'Kidney Stone Removal', 'Urinary Tract / Bladder Stones Treatment', 'Prostate Laser Surgery', 'Male Sexual Problems', 'Transurethral Incision of The Prostate (TUIP)', 'Urine Stone', 'Obstruction while Urinating', 'Groin Pain', 'Lithotripsy', 'Endourology', 'Urethroplasty', 'Urology Consultation', 'Urine Infection', 'Testicular', 'Penis Pain', 'Chronic Kidney Disease ( CKD )', 'Urethral Dilatation', 'Open Prostatectomy', 'Varicocelectomy', 'Neurourology', 'Kidney Disease', 'Bladder Stones', 'Kidney Transplant Treatment', 'Urinary Tract Infection (UTI)', 'Urinary Tract Problems', 'Kidney Stone Treatment', 'Kidney Transplant', ""Men's Health"", 'Benign Prostatic Hypertrophy', 'Transurethral Resection of The Prostate (TURP)', 'Urinary Tract Infections (UTI)', 'Dialysis / Haemodialysis', 'Urinary Incontinence (Ui) Treatment', 'Pain While Urinating', 'Blood in Urine (Hematuria) Treatment', 'Surgery Of The Penis', 'Penile Fracture Repair', 'Orchiectomy', 'Frenuloplasty', 'Urinary Tract Obstruction', 'Circumcision']"
